timestamp,device_id,zone,firmware,signal_strength,battery_level,cpu_usage,mem_usage,temp_c,latency_ms,event,error_code
2025-12-11T09:30:00+05:30,DEV-0001,West,1.0,65.47,99.92,41.76,31.2,29.75,102.78,warning,
2025-12-11T10:00:00+05:30,DEV-0001,West,1.0,52.05,99.83,57.53,51.89,31.15,114.31,warning,
2025-12-11T10:30:00+05:30,DEV-0001,West,1.0,55.17,99.75,48.22,36.5,32.34,113.45,warning,
2025-12-11T11:00:00+05:30,DEV-0001,West,1.0,54.06,99.66,57.51,58.57,33.07,119.09,warning,
2025-12-11T11:30:00+05:30,DEV-0001,West,1.0,38.82,99.57,45.29,42.39,32.73,108.87,warning,
2025-12-11T12:00:00+05:30,DEV-0001,West,1.0,70.46,99.48,55.35,53.91,31.37,108.54,warning,
2025-12-11T12:30:00+05:30,DEV-0001,West,1.0,47.33,99.39,58.11,50.39,30.66,128.74,warning,
2025-12-11T13:00:00+05:30,DEV-0001,West,1.0,47.4,99.29,67.01,59.27,37.31,141.17,warning,
2025-12-11T13:30:00+05:30,DEV-0001,West,1.0,53.5,99.19,74.12,69.05,34.72,146.14,warning,
2025-12-11T14:00:00+05:30,DEV-0001,West,1.0,44.03,99.09,64.56,59.68,35.25,121.65,warning,
2025-12-11T14:30:00+05:30,DEV-0001,West,1.0,49.09,98.99,62.14,52.89,35.96,132.62,warning,
2025-12-11T15:00:00+05:30,DEV-0001,West,1.0,35.48,98.91,51.1,43.46,37.83,122.0,warning,
2025-12-11T15:30:00+05:30,DEV-0001,West,1.0,46.13,98.82,47.24,47.77,34.59,110.27,warning,
2025-12-11T16:00:00+05:30,DEV-0001,West,1.0,59.24,98.73,59.12,52.59,34.18,128.61,warning,
2025-12-11T16:30:00+05:30,DEV-0001,West,1.0,76.9,98.64,57.42,42.23,33.59,111.93,warning,
2025-12-11T17:00:00+05:30,DEV-0001,West,1.0,42.4,98.54,59.71,46.12,34.43,118.64,warning,
2025-12-11T17:30:00+05:30,DEV-0001,West,1.0,42.03,98.45,58.78,45.32,32.26,107.58,warning,
2025-12-11T18:00:00+05:30,DEV-0001,West,1.0,33.87,98.36,54.15,46.45,33.38,116.05,warning,
2025-12-11T18:30:00+05:30,DEV-0001,West,1.0,32.63,98.29,37.5,29.94,31.56,112.71,warning,
2025-12-11T19:00:00+05:30,DEV-0001,West,1.0,61.06,98.2,54.23,51.17,35.58,134.58,warning,
2025-12-11T19:30:00+05:30,DEV-0001,West,1.0,63.95,98.12,44.03,41.72,30.83,107.75,warning,
2025-12-11T20:00:00+05:30,DEV-0001,West,1.0,50.78,98.05,34.97,31.36,25.89,95.89,warning,
2025-12-11T20:30:00+05:30,DEV-0001,West,1.0,44.32,97.98,37.04,35.69,34.59,124.6,warning,
2025-12-11T21:00:00+05:30,DEV-0001,West,1.0,66.91,97.91,26.95,20.84,29.8,94.82,warning,
2025-12-11T21:30:00+05:30,DEV-0001,West,1.0,50.74,97.84,33.24,24.81,31.84,87.6,warning,
2025-12-11T22:00:00+05:30,DEV-0001,West,1.0,59.89,97.77,39.97,30.82,25.19,109.33,warning,
2025-12-11T22:30:00+05:30,DEV-0001,West,1.0,49.84,97.7,29.46,26.86,25.71,99.81,warning,
2025-12-11T23:00:00+05:30,DEV-0001,West,1.0,55.44,97.64,23.49,18.63,26.49,121.62,warning,
2025-12-11T23:30:00+05:30,DEV-0001,West,1.0,42.63,97.57,26.82,25.83,25.91,107.14,warning,
2025-12-12T00:00:00+05:30,DEV-0001,West,1.0,61.29,97.51,31.32,28.35,25.27,101.82,warning,
2025-12-12T00:30:00+05:30,DEV-0001,West,1.0,56.91,97.45,15.84,13.64,18.74,84.83,warning,
2025-12-12T01:00:00+05:30,DEV-0001,West,1.0,46.05,97.4,17.75,19.01,19.49,99.94,warning,
2025-12-12T01:30:00+05:30,DEV-0001,West,1.0,46.19,97.33,26.48,22.91,26.27,116.03,warning,
2025-12-12T02:00:00+05:30,DEV-0001,West,1.0,71.16,97.29,15.32,15.62,25.63,36.33,normal,
2025-12-12T02:30:00+05:30,DEV-0001,West,1.0,74.72,97.21,41.02,30.02,23.7,99.15,warning,
2025-12-12T03:00:00+05:30,DEV-0001,West,1.0,57.87,97.15,24.68,20.67,25.51,104.66,warning,
2025-12-12T03:30:00+05:30,DEV-0001,West,1.0,60.68,97.09,19.38,14.33,20.35,95.19,warning,
2025-12-12T04:00:00+05:30,DEV-0001,West,1.0,64.0,97.03,21.09,19.71,21.06,101.46,warning,
2025-12-12T04:30:00+05:30,DEV-0001,West,1.0,61.48,96.97,25.02,20.89,20.93,95.68,warning,
2025-12-12T05:00:00+05:30,DEV-0001,West,1.0,43.26,96.91,25.82,22.8,21.78,97.67,warning,
